dir	p	OR	CILow	CIHigh	up_total	down_total	up_overlap	down_overlap	all_total	overlap_total	Tissue	Cluster	Name	Clade
Up	3.62618727539755e-06	2.21750310822806	1.5973291298165	3.01049077523165	630	686	45	37	132553	4444	FC	13	Opc	Glia
Down	0.00546906580107406	1.6434529083699	1.1451323182127	2.29308920881993	630	686	45	37	132553	4444	FC	13	Opc	Glia
Up	0.254179297905518	1.33729772827122	0.772466034494372	2.1641997211411	544	1473	17	30	201880	4755	FC	14	L5.Parm1	ExN
Down	0.489502138447637	0.861878872751739	0.578686289930516	1.23752888370244	544	1473	17	30	201880	4755	FC	14	L5.Parm1	ExN
Up	0.798897808444067	1.01656363608966	0.269789589662229	2.71539802418312	81	231	4	6	31388	1526	FC	15	Endo	Glia
Down	0.123491832931201	0.521832728833712	0.189172788091858	1.15647022923849	81	231	4	6	31388	1526	FC	15	Endo	Glia
Up	0.207995074839576	1.47712920471706	0.74645138224956	2.65781102228281	171	366	12	16	53838	2617	FC	16	Peri	Glia
Down	0.806696458471105	0.894739202931911	0.505003728442089	1.47655646239697	171	366	12	16	53838	2617	FC	16	Peri	Glia
Up	0.0675658941854748	1.69712508674641	0.890424927817487	2.95857608174329	267	954	13	26	122257	3579	FC	17	L5b.Fezf2	ExN
Down	0.846688162372463	0.929039240761587	0.602755778050501	1.37249803146943	267	954	13	26	122257	3579	FC	17	L5b.Fezf2	ExN
Up	0.0306769987712833	0.475856523592783	0.203763364591654	0.948437906244736	419	70	8	3	49087	1929	FC	18	Inh.Lrrc38.Plcxd3.Prok2	InN
Down	0.755763022471706	1.09462432705419	0.220003565614183	3.34417647616421	419	70	8	3	49087	1929	FC	18	Inh.Lrrc38.Plcxd3.Prok2	InN
Up	0.0790794652751311	0.675280928223354	0.415380593768804	1.0402672515166	844	662	21	23	150726	5488	HT	1	CM	Muscle
Down	0.917173549688943	0.952561917034139	0.59889786900187	1.4436964181896	844	662	21	23	150726	5488	HT	1	CM	Muscle
Up	0.744229762563456	0.90019169333551	0.545012454786672	1.40556316390738	568	758	20	21	132869	5177	HT	2	FB	Other
Down	0.130514048818098	0.702807079892949	0.432046029398153	1.08360943462218	568	758	20	21	132869	5177	HT	2	FB	Other
Up	0.546101529146149	0.882558138833036	0.59582799816548	1.26225313446573	1055	464	31	31	152061	5043	HT	3	Endo	Other
Down	0.000359253653191334	2.08705149977177	1.3991129450941	3.01056350511786	1055	464	31	31	152061	5043	HT	3	Endo	Other
Up	0.0313540487467366	0.684694547431886	0.468965949440395	0.967282728091821	1424	364	33	32	178927	5992	HT	4	Low_quality	NA
Down	1.02104797808713e-06	2.78173861084477	1.87016872836	4.00848941852547	1424	364	33	32	178927	5992	HT	4	Low_quality	NA
Up	0.785892444309539	1.0400835826494	0.710753590708954	1.47320941004457	957	480	33	23	143802	4774	HT	5	Macg	Myeloid
Down	0.0743140326962265	1.46562360243175	0.918774370221926	2.22933267844243	957	480	33	23	143802	4774	HT	5	Macg	Myeloid
Up	0.459022390535631	0.846892201062896	0.549213718478466	1.25179959416937	835	411	26	22	124777	4562	HT	6	SMC	Muscle
Down	0.0848083563597905	1.49027779843901	0.922185989478754	2.29170735295816	835	411	26	22	124777	4562	HT	6	SMC	Muscle
Up	0.259994555823806	1.18937792141045	0.846446207786354	1.62922295606608	949	241	41	13	119177	4359	HT	7	Endo	Other
Down	0.165227149654743	1.50183449485937	0.786905333075199	2.62312707559455	949	241	41	13	119177	4359	HT	7	Endo	Other
Up	0.751644874294996	1.12057651138674	0.225337453323069	3.42001342458214	72	356	3	13	42998	1606	HT	8	Bcell	Lymphoid
Down	1	0.97683298702828	0.513680767405273	1.69785757895142	72	356	3	13	42998	1606	HT	8	Bcell	Lymphoid
Up	0.0806036138989817	1.57591060200955	0.882569424617927	2.62665506659241	219	189	16	13	56707	2701	HT	9	Fat	Other
Down	0.169808481910007	1.47685636046161	0.770022470860413	2.59622343190327	219	189	16	13	56707	2701	HT	9	Fat	Other
Up	0.14558404463013	1.89503617679501	0.674730314433797	4.31373228134626	89	188	6	8	34345	1262	HT	10	Tcell	Lymphoid
Down	0.694611729182039	1.16509263511061	0.494330210731081	2.35276166776502	89	188	6	8	34345	1262	HT	10	Tcell	Lymphoid
Up	0.326444178600758	0.79314049106566	0.492483165129703	1.2144784534774	599	181	22	14	78160	3585	HT	11	doublet	NA
Down	0.0498897111130183	1.74385599788948	0.932140733329666	3.01272830762972	599	181	22	14	78160	3585	HT	11	doublet	NA
Up	0.117194591828277	0.739530939693067	0.493837881221617	1.06889507662075	587	406	30	25	99448	6751	LM	1	Skm.Fhl3..1	Muscle
Down	0.692566685563711	0.900972784390282	0.575282520847401	1.35196626823275	587	406	30	25	99448	6751	LM	1	Skm.Fhl3..1	Muscle
Up	0.0936814811191573	0.716210097480983	0.471414239042753	1.04705389164508	614	524	28	44	113973	7128	LM	2	Skm.Fhl3.Myh1	Muscle
Down	0.0467577103142533	1.37402034939336	0.984291711600218	1.87515935389197	614	524	28	44	113973	7128	LM	2	Skm.Fhl3.Myh1	Muscle
Up	0.607433096933151	0.892253957693379	0.60741513680089	1.26961696557052	576	496	33	37	107341	6845	LM	3	Skm.Fhl3.2	Muscle
Down	0.3111295122124	1.18348623128872	0.821961607273613	1.65766470790259	576	496	33	37	107341	6845	LM	3	Skm.Fhl3.2	Muscle
Up	0.445137109499888	0.835575304810459	0.534208646427048	1.25193998653387	451	465	25	23	91704	6018	LM	4	FB	Other
Down	0.187529401103181	0.740895722007457	0.464380308436483	1.12725550547125	451	465	25	23	91704	6018	LM	4	FB	Other
Up	0.104212881762949	0.760170885824093	0.533355648021552	1.05396041244951	813	384	38	28	119899	7265	LM	5	Low_quality	NA
Down	0.333537261728219	1.2193843660894	0.798196069043097	1.7946046450973	813	384	38	28	119899	7265	LM	5	Low_quality	NA
Up	0.354269624444261	0.816760031014963	0.527054442212397	1.21463378824324	470	225	26	12	69657	4660	LM	6	Endo	Other
Down	0.503614879489842	0.785787365936147	0.399413553975427	1.40293148134371	470	225	26	12	69657	4660	LM	6	Endo	Other
Up	0.199648300933385	0.690248629281473	0.372208736527144	1.17895177417034	291	604	14	27	89659	6117	LM	7	Kerat	Other
Down	0.0227585849719447	0.639059454670273	0.417134982174456	0.940671799468203	291	604	14	27	89659	6117	LM	7	Kerat	Other
Up	0.0332194646104708	0.676466117958914	0.452240146836232	0.976384595242732	666	341	30	24	100839	6573	LM	8	Skm.Fhl3.3	Muscle
Down	0.660242313433972	1.08575643791098	0.684882605041773	1.64673299650023	666	341	30	24	100839	6573	LM	8	Skm.Fhl3.3	Muscle
Up	0.407702472683021	1.14407601483418	0.789687447609353	1.61122742169545	483	69	36	5	55379	3642	LM	9	Macg	Myeloid
Down	0.805650322989701	1.10980505772627	0.348306291893953	2.72970436727947	483	69	36	5	55379	3642	LM	9	Macg	Myeloid
Up	0.761555847583563	1.06064389415158	0.693889459194527	1.56187030652337	382	285	28	22	66859	4640	LM	10	SMC	Muscle
Down	0.559820989828178	1.12168128927814	0.690295188840206	1.73673264266877	382	285	28	22	66859	4640	LM	10	SMC	Muscle
Up	1	0.989658287035858	0.701399572226371	1.36223295986074	587	211	41	11	79929	5637	LM	11	Fat	Other
Down	0.346735319005228	0.724850982980282	0.355856109953795	1.32624578824299	587	211	41	11	79929	5637	LM	11	Fat	Other
Up	0.451790444442312	0.73975259839597	0.331491962178016	1.44435572494957	157	362	9	16	52002	3950	LM	12	MSC	Other
Down	0.0213367925775392	0.562577380452906	0.317613152240982	0.9279072006239	157	362	9	16	52002	3950	LM	12	MSC	Other
Up	0.00731123983148477	0.252155160911164	0.0513993388732711	0.751871641305692	166	13	3	1	18169	1236	LM	13	Bcell	Lymphoid
Down	0.599997335980677	1.14164360685529	0.0266854100390123	7.72787479821838	166	13	3	1	18169	1236	LM	13	Bcell	Lymphoid
Up	0.370739882452369	1.32406482464321	0.64281683452752	2.45959211905131	128	566	11	37	69519	4609	LM	14	Skm.Fhl3.Cyrm.Ache	Muscle
Down	1	0.985033523417414	0.6849718926211	1.37767672676743	128	566	11	37	69519	4609	LM	14	Skm.Fhl3.Cyrm.Ache	Muscle
Up	1	0.981634961983292	0.526474683095498	1.68861523565063	212	368	14	21	58193	3910	LM	15	Skm.Fhl3.Wdr31	Muscle
Down	0.529873942344332	0.84018444952211	0.512870473626081	1.30668515669419	212	368	14	21	58193	3910	LM	15	Skm.Fhl3.Wdr31	Muscle
Up	0.0638980835403543	0.187396043537265	0.00468999650223215	1.07425859824305	93	24	1	0	11819	648	LM	16	neutrophils	Myeloid
Down	0.6397819056476	0	0	2.87207742646212	93	24	1	0	11819	648	LM	16	neutrophils	Myeloid
Up	0.820858023260505	0.736025871112309	0.19549159721041	1.96352256190772	86	65	4	6	15815	983	LM	17	Eryth	Myeloid
Down	0.298076138299395	1.53435178592771	0.539954173798226	3.55515536938079	86	65	4	6	15815	983	LM	17	Eryth	Myeloid
Up	0.22400688834672	1.2389602495334	0.863690141986162	1.72788957348179	724	327	37	17	105212	4383	BM	1	Neutrophil.Il1b	Myeloid
Down	0.331020592742092	1.26153553170565	0.72478255997787	2.05549914319263	724	327	37	17	105212	4383	BM	1	Neutrophil.Il1b	Myeloid
Up	0.557575696894541	1.15060515145297	0.619149969378185	1.97054588606523	257	581	14	19	83948	4003	BM	2	Eryth	Myeloid
Down	0.0960974329341784	0.675180791214721	0.40300944933375	1.06583889413376	257	581	14	19	83948	4003	BM	2	Eryth	Myeloid
Up	0.941207974676518	1.00227090939312	0.734746644337984	1.33899382035454	891	305	49	16	119796	6574	BM	3	Naive.B.cell	Lymphoid
Down	1	0.953505645152075	0.537455542454331	1.5763673975285	891	305	49	16	119796	6574	BM	3	Naive.B.cell	Lymphoid
Up	0.786486075939105	1.04548226416451	0.716520358826903	1.47897347361094	634	527	34	25	116249	5977	BM	4	Neutrophil.Ms4a3	Myeloid
Down	0.766757997171684	0.918794029183913	0.588380887663645	1.37377612184881	634	527	34	25	116249	5977	BM	4	Neutrophil.Ms4a3	Myeloid
Up	0.922828460555673	1.00245108370681	0.659689754263691	1.46583609429319	629	402	28	18	103285	4587	BM	5	Neutrophil.Gpr27	Myeloid
Down	0.903554690450303	1.00860518841527	0.590840113174247	1.61756929044935	629	402	28	18	103285	4587	BM	5	Neutrophil.Gpr27	Myeloid
Up	0.238868912459998	1.2058570429774	0.869740693706286	1.63464326716958	673	634	45	22	130843	7339	BM	6	Monocyte	Myeloid
Down	0.0188998064644056	0.604933482648715	0.376076484818402	0.925078978049212	673	634	45	22	130843	7339	BM	6	Monocyte	Myeloid
Up	0.000273711229796422	0.400464241187008	0.211654649874059	0.691606070012164	513	653	13	54	116703	7115	BM	7	Pre.B.cell	Lymphoid
Down	0.0264650120348134	1.3885128420083	1.02980252045901	1.83836471327715	513	653	13	54	116703	7115	BM	7	Pre.B.cell	Lymphoid
Up	0.392394374762048	0.843681715404245	0.567663154872547	1.21156625960789	630	655	31	36	128607	7433	BM	8	Pro.Eryth	Myeloid
Down	0.866467075679658	0.948106413759461	0.657303453422103	1.32842363893563	630	655	31	36	128607	7433	BM	8	Pro.Eryth	Myeloid
Up	0.000618441143561657	1.58356546819963	1.21431212024312	2.03628627660227	758	456	68	25	121598	7124	BM	9	T.cell	Lymphoid
Down	0.841425199051369	0.932063500744196	0.596009311486066	1.39606101077283	758	456	68	25	121598	7124	BM	9	T.cell	Lymphoid
Up	7.21748968315597e-08	1.93105303916015	1.5294812746373	2.41311405134605	802	464	89	22	126769	7697	BM	10	Macrophage	Myeloid
Down	0.282659192953918	0.769989411006186	0.477316631310302	1.18154662688506	802	464	89	22	126769	7697	BM	10	Macrophage	Myeloid
Up	0.194743191089808	1.20531950314421	0.897790414244455	1.58934117586702	742	554	55	24	129713	8079	BM	11	FB	Other
Down	0.0641960495436465	0.681749920674335	0.432640797071752	1.02634457516512	742	554	55	24	129713	8079	BM	11	FB	Other
Up	0.0875413928106236	1.30486651554952	0.947353843773763	1.75932897102169	645	657	47	44	130381	7407	BM	12	Basophil	Myeloid
Down	0.271277384092008	1.19168659501233	0.856109238633754	1.62095012056895	645	657	47	44	130381	7407	BM	12	Basophil	Myeloid
Up	0.0807319124087097	0.700231111649138	0.448942382714986	1.04550202748821	584	725	25	52	131077	7869	BM	13	Dendritic.Cells	Myeloid
Down	0.182794190019491	1.209780177545	0.893418298335388	1.60703914539195	584	725	25	52	131077	7869	BM	13	Dendritic.Cells	Myeloid
Up	0.420457207580667	0.818845111499155	0.506746103470659	1.2591367361649	401	757	22	58	116094	7685	BM	14	Late.Pro.B.cell	Lymphoid
Down	0.241050447084601	1.17049964582969	0.878630655433698	1.5330371803786	401	757	22	58	116094	7685	BM	14	Late.Pro.B.cell	Lymphoid
Up	0.0508832508016413	1.32939443358033	0.98182495572343	1.76726668643461	584	463	53	46	104830	7321	BM	15	Endo	Other
Down	0.0172089020129957	1.46923018611116	1.05808826383375	1.99742859258607	584	463	53	46	104830	7321	BM	15	Endo	Other
Up	0.000189859555848522	1.80797418469919	1.32232193286394	2.42654754223918	451	752	51	52	120486	7937	BM	16	HSC	Other
Down	0.712138796560684	1.05341335839626	0.778225268082766	1.39866420044419	451	752	51	52	120486	7937	BM	16	HSC	Other
Up	0.0206860632691832	1.44234285655702	1.04661282104741	1.94791389632383	497	328	48	20	82663	5704	BM	17	Plasma.Cell	Lymphoid
Down	0.662076291093913	0.876108004206318	0.527284101136512	1.37828654767212	497	328	48	20	82663	5704	BM	17	Plasma.Cell	Lymphoid
